publisher,game_count,total_owners,avg_rating,total_reviews,avg_price,peak_ccu
Wargaming Labs,3,1050000.0,87.9,9885,10.72,305
IR Studio,3,1050000.0,74.9,1093,0.49,0
ustwo games,3,1050000.0,93.8,18009,2.52,58
Eduard Kozadaev,3,1050000.0,86.4,7376,6.99,1120
Sixteen Tons Entertainment,3,1050000.0,81.5,4275,15.99,81
BlueLine Games,3,1050000.0,82.1,4085,6.66,15
Zen Studios,3,1050000.0,81.1,7538,14.65,83
Marmalade Game Studio Ltd,3,1050000.0,80.3,9580,11.99,110
Ludosity,4,1000000.0,93.2,8029,12.49,6
Yogscast Games,4,1000000.0,84.1,10831,14.24,99
"Dejobaan Games, LLC",4,1000000.0,80.1,3180,11.24,0
Lonely Troops,4,1000000.0,88.7,9323,5.09,5
GDNomaD,4,1000000.0,51.5,2802,0.99,26
Blue Isle Publishing,4,1000000.0,76.5,21858,16.24,10
"INTI CREATES CO., LTD.",4,1000000.0,82.0,7194,9.05,8
Excalibur Publishing,4,1000000.0,52.1,7692,9.99,4
Digerati,4,1000000.0,67.2,3605,5.49,1
VaragtP,4,1000000.0,80.8,8883,2.74,15
"HandyGames, Black Forest Games",4,1000000.0,78.0,3917,10.49,26
Graffiti Games,4,1000000.0,77.6,17692,16.24,23
Displacement Studios,4,1000000.0,39.9,1816,1.24,1
XSEED Games,4,1000000.0,91.3,9382,16.24,14
K Bros Games,4,1000000.0,78.2,5789,2.99,1
UPLAY Online,3,975000.0,70.6,18297,21.66,47
HIKARI FIELD,7,975000.0,95.9,30578,33.56,295
"Games Incubator, PlayWay S.A.",5,950000.0,79.0,10283,3.65,271
Pathea Games,4,925000.0,82.1,9488,0.0,8
ALT Lab,2,900000.0,78.2,7945,5.99,22
Bad Vices Games,2,900000.0,91.2,10293,4.99,25
香港商河洛互動娛樂股份有限公司,2,900000.0,82.0,33308,29.99,69
Gears for Breakfast,2,900000.0,95.0,53058,27.49,131
Camex Games,2,900000.0,75.6,4759,0.0,0
Modern Wolf,2,900000.0,69.4,13466,16.49,261
Pixelatto,2,900000.0,94.7,18484,2.99,48
Gamestorming,2,900000.0,81.4,3953,3.49,1
GameMill Entertainment,2,900000.0,58.4,6276,29.99,12
GB Patch Games,2,900000.0,96.9,13045,0.0,237
Night School Studio,2,900000.0,80.4,12737,14.99,11
WanadevStudio,2,900000.0,94.4,8609,12.5,19
Kubold,2,900000.0,79.4,7619,8.99,45
Red Thread Games,2,900000.0,78.4,6452,6.74,6
ELYLAND  INVESTMENT COMPANY Ltd,2,900000.0,64.6,3810,0.0,65
Daniel Mullins Games,2,900000.0,94.6,22139,7.49,9
Terrible Toybox,2,900000.0,90.5,4547,9.99,5
Notovia,2,900000.0,86.2,895,7.49,9
"BitMonster, Inc.",2,900000.0,66.4,7892,17.49,1
Digital Cybercherries,2,900000.0,77.4,8794,16.49,55
Suba Games,2,900000.0,50.1,1230,0.0,1
InSayn,2,900000.0,70.8,1070,0.0,0
Dancing Dragon Games,2,900000.0,85.4,1825,9.99,0
Messhof,2,900000.0,85.8,8903,12.49,6
CM IMMERSIVE,2,900000.0,86.8,13872,34.99,119
Skydance Interactive,2,900000.0,79.0,10476,9.99,26
Unepic Games,2,900000.0,91.2,10060,12.99,9
Two Star Games,2,900000.0,91.6,19732,9.99,31
"Double Damage Games, SNEG",2,900000.0,74.5,9093,24.99,24
BRUTAL SOFTWARE,2,900000.0,85.8,10150,6.49,19
3f Interactive,2,900000.0,76.7,1753,2.99,0
Big Cheese Studio,2,900000.0,83.4,20050,19.99,74
Mode 7,2,900000.0,76.1,3259,22.49,1
KHB-Soft,2,900000.0,86.2,5893,2.49,0
Eforb,2,900000.0,44.2,4747,0.0,0
Digital Tribe,5,875000.0,73.5,6596,9.79,19
WayForward,5,875000.0,89.9,10474,21.99,15
Lil Hentai Games,5,875000.0,94.0,13034,4.49,3
GameXP.com,3,850000.0,59.0,2169,0.0,441
RewindApp,3,850000.0,88.4,24665,1.44,18
"PlayWay S.A., Sim Farm S.A.",3,850000.0,75.8,5944,1.66,47
Erik Asmussen,3,850000.0,91.5,9270,6.66,37
Wandering Wizard,3,850000.0,74.7,8433,13.32,8
Mehsoft,3,850000.0,80.8,3364,2.66,0
Walnut LLC,3,850000.0,75.5,7270,8.32,5
Broken Rules,3,850000.0,72.3,5745,9.99,1
FireFly Studios,3,850000.0,75.1,15689,8.33,278
FIVE-BN GAMES,3,850000.0,84.8,11827,0.0,42
THE BROTHERHOOD,3,850000.0,85.5,6336,3.73,5
Hitcents,3,850000.0,84.9,5499,10.32,6
Digital Happiness,3,850000.0,77.1,8440,13.99,8
Bossa Studios,3,850000.0,75.0,6829,1.66,0
Matt Roszak,3,850000.0,97.6,10949,13.33,69
XDEVS LTD,4,850000.0,60.6,4771,0.0,173
SIGONO INC.,3,850000.0,88.4,10611,13.33,6
Second Maze,3,850000.0,96.2,12568,2.33,24
MAGIX Software GmbH,4,850000.0,47.6,4575,37.5,24
"Squanch Games, Inc.",2,825000.0,90.0,22407,34.99,299
"Assemble Entertainment, WhisperGames",2,825000.0,84.1,10648,2.49,99
Stegersaurus Software Inc.,2,825000.0,92.1,8098,5.99,3
Ziggurat,6,825000.0,73.8,5014,11.66,16
Nikita Igorevich Studio,2,825000.0,87.7,30278,1.49,13
Fayju,2,825000.0,85.8,11537,19.99,65
IndieGala,2,825000.0,78.9,6789,0.0,0
"Headup, Beep Japan",2,825000.0,68.8,8415,2.66,6
Missing Link Games,4,800000.0,58.4,5328,4.29,2
Clarus Victoria,4,800000.0,84.6,4149,2.68,5
Rogueside,4,800000.0,91.8,14402,12.74,40
Fantasy Flight Games,4,800000.0,89.9,2588,0.0,19
Ripstone,4,800000.0,76.9,5425,2.55,18
United Independent Entertainment,4,800000.0,51.5,3089,5.74,3
Toge Productions,4,800000.0,95.6,20285,8.19,24
Pixeljam,4,800000.0,89.9,17223,9.99,204
Owlchemy Labs,4,800000.0,74.2,6192,8.74,44
Size Five Games,3,775000.0,74.9,1923,8.32,1
Rake in Grass,3,775000.0,90.1,6282,12.32,4
Butterscotch Shenanigans,3,775000.0,91.1,13477,11.66,96
"Abama Entertainment, GosDev Production",1,750000.0,88.8,7893,0.99,143
Two and a Half Studios,1,750000.0,98.3,10483,0.0,186
FunYoo Games,1,750000.0,78.6,7172,11.99,65
Fun Dog Studios,1,750000.0,72.3,19046,29.99,379
Fun & Simple,1,750000.0,87.6,4955,14.99,37
GSQ Games,1,750000.0,85.7,23009,24.99,598
（Hong Kong）GKD Game Studio,1,750000.0,77.3,20780,29.99,88
Picroma,1,750000.0,37.0,18573,19.99,10
"Gamirror Games, 奇门互娱",1,750000.0,24.3,3942,9.99,10
Giant Games,1,750000.0,82.9,10432,0.0,487
SDEnterNet,1,750000.0,44.5,1390,0.0,0
Z4,1,750000.0,80.2,4552,0.0,126
Marxnet,1,750000.0,78.9,2902,0.0,49
Manic Mice,1,750000.0,85.6,12694,4.99,26
RyseUp Studios,1,750000.0,95.4,21689,14.99,429
RubyDev,1,750000.0,96.8,9755,9.99,165
"Assemble Entertainment, WhisperGames, Mayflower Entertainment",1,750000.0,92.0,2471,2.39,3
Redhill Games,1,750000.0,46.7,3300,0.0,0
Redbana Corporation,1,750000.0,60.7,1579,0.0,0
"Deep Field Games, New Blood Interactive",1,750000.0,86.2,7494,0.0,2
"Deck13, WhisperGames, DANGEN Entertainment, Mayflower Entertainment",1,750000.0,93.1,16866,19.99,77
Cosmic Cow LLC,1,750000.0,74.1,4280,0.0,22
Cosmic Adventure Squad,1,750000.0,87.0,10424,0.0,15
"Contingent99, Humble Games",1,750000.0,90.8,20520,4.79,70
"iRacing.com Motorsport Simulations, iRacing",1,750000.0,86.1,5023,9.99,354
"Pathea Games, Focus Entertainment, PM Studios, Inc., DMM Games",1,750000.0,88.3,26283,39.99,1501
YC Games,1,750000.0,75.7,6778,0.0,110
SavySoda,1,750000.0,73.5,2732,0.0,163
Sanctum Games,1,750000.0,97.6,11948,0.0,2
Samurai Punk,1,750000.0,91.6,1893,14.99,2
MOBITECH LLC,1,750000.0,65.6,25900,0.0,995
YooGame,1,750000.0,96.6,11569,2.99,112
"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",1,750000.0,77.9,8678,0.0,15
Dragonrise Games,1,750000.0,92.4,2336,3.99,8493
DragonSnow,1,750000.0,86.8,17204,4.99,31
Sabotage Studio,1,750000.0,89.2,12698,34.99,509
SUNNY SIDE UP,1,750000.0,89.1,8142,19.99,56
MadOut Games,1,750000.0,74.3,4505,0.0,1
Mad Otter Games,1,750000.0,61.1,3361,0.0,33
"SOFTSTAR, Yooreka Studio",1,750000.0,62.7,9484,34.99,4
"SOFTSTAR TECHNOLOGY(BEIJING), SOFTSTAR ENTERTAINMENT",1,750000.0,49.3,2408,4.99,21
Maiden Gaming Inc.,1,750000.0,54.4,6017,0.0,15
Deli Interactive LLC,1,750000.0,86.8,5851,6.39,14
Dekovir Ltd,1,750000.0,88.5,15952,18.99,303
"Mythwright, Brightrock Games",1,750000.0,85.9,7837,5.99,59
MyDockFinder,1,750000.0,71.8,5542,4.99,2384
Big Robot Ltd,1,750000.0,77.7,3887,19.99,0
Ravenhood Games,1,750000.0,75.8,11795,9.99,26
Ramen VR,1,750000.0,67.5,4490,0.0,1
"NEXT Studios, META Publishing",1,750000.0,86.1,8822,14.99,300
NEKO WORKs,1,750000.0,79.9,5037,0.0,9
Blameless Games,1,750000.0,84.2,4985,0.0,3
Schwiezer System GmbH,1,750000.0,77.2,5811,0.0,67
Sbug Games,1,750000.0,97.6,13838,9.99,23
Downpour Interactive,1,750000.0,68.7,9215,24.99,30
Dreambyte Games,1,750000.0,90.8,6401,6.49,35
Cold Beam Games,1,750000.0,94.6,7379,9.99,4
Level Up Labs,1,750000.0,95.3,3460,14.99,2
Level Infinite,1,750000.0,54.2,6345,0.0,451
Legend Studio,1,750000.0,76.4,4355,0.0,12
Leafy Games,1,750000.0,90.0,5578,19.99,21
Shanghai SilverMoon Network Technology Co.Ltd,1,750000.0,84.9,11444,0.0,450
Lightmare Studios,1,750000.0,77.2,3467,0.0,10
"Xelu, Those Awesome Guys",1,750000.0,93.2,13998,11.99,68
Earthshine,1,750000.0,90.9,9113,19.99,191
Self Published,1,750000.0,94.5,9805,0.0,3
"Sector D2, Humble Games",1,750000.0,93.8,19217,24.99,96
Lion's Shade,1,750000.0,87.3,4264,17.99,13
Apog Labs,1,750000.0,83.7,7684,24.99,182
Anvil Game Studios,1,750000.0,89.7,25115,9.99,223
Secret Exit Ltd.,1,750000.0,93.5,5706,9.99,10
Bezbro Games,1,750000.0,82.3,4004,0.0,21
1C Online Games,1,750000.0,70.3,1368,0.0,0
Neople,1,750000.0,61.3,5538,0.0,173
"Pupuya Games, SimonCreative, Justdan",1,750000.0,82.4,11371,24.99,10
"Bloober Team SA, NA PUBLISHING INC.",1,750000.0,88.9,8739,49.99,6
Bloober Team NA,1,750000.0,78.9,7247,29.99,6
4G,1,750000.0,95.8,12068,0.0,3382
4 I Lab,1,750000.0,62.4,1673,0.0,0
"Cloudcade, Inc.",1,750000.0,66.8,3678,0.0,53
"3D Realms, Knights Peak, Saber Interactive",1,750000.0,89.1,7043,39.99,528
Lafrontier,1,750000.0,93.7,6575,19.99,1277
Laumania ApS,1,750000.0,96.9,6663,14.99,34
Last Level,1,750000.0,62.5,10290,9.99,3
Lasengle Inc.,1,750000.0,88.4,9602,49.99,42
"Larian Studios, Focus Home Interactive",1,750000.0,84.5,4800,19.99,22
Blue Bottle Games,1,750000.0,89.7,5229,14.99,29
EVGA,1,750000.0,80.3,4740,0.0,494
EQ Studios,1,750000.0,91.1,5217,19.99,12
NVIDIA,1,750000.0,87.3,4590,0.0,5
"RedCandleGames, AGM PLAYISM",1,750000.0,81.9,14378,11.99,9
"Red Nexus Games Inc., IndieArk",1,750000.0,83.6,15993,19.99,574
MovingBlocks,1,750000.0,79.0,1356,0.0,1
Realm Archive,1,750000.0,91.0,20327,6.99,499
Big Fat Alien,1,750000.0,84.9,4618,0.0,0
"Black Tabby Games, Serenity Forge",1,750000.0,97.1,23963,17.99,134
Black Pants Studio,1,750000.0,91.6,4111,11.99,1
"34BigThings srl, Digital Tribe",1,750000.0,54.3,372,9.99,0
Doctor Shinobi,1,750000.0,97.3,15157,0.0,35
"Disney, Lucasfilm, LucasArts",1,750000.0,91.5,4342,5.99,169
34BigThings srl,1,750000.0,85.4,4567,19.99,1
ZTEK Studio,1,750000.0,80.5,10547,4.99,182
NPC Studio,1,750000.0,97.9,19958,13.99,1616
"Neosonyx Co., Ltd.",1,750000.0,62.0,3486,0.0,90
Anima Locus,1,750000.0,76.8,7415,0.0,1
Angela He,1,750000.0,96.1,15196,0.0,2
"World Golf Tour, LLC",1,750000.0,62.5,2911,0.0,311
"Code Horizon, PlayWay S.A.",1,750000.0,72.1,15071,19.99,166
Code Club AB,1,750000.0,62.0,2328,0.0,151
LIMITED,1,750000.0,93.0,8615,0.0,1
Simon Blasen,1,750000.0,90.5,1980,0.0,552
NANOO,1,750000.0,63.7,2852,8.49,3392
AttritoM7 Productions,1,750000.0,78.8,31630,9.99,75
Atlant Games ltd,1,750000.0,62.4,832,0.0,8
Deca Live Operations GmbH,1,750000.0,83.1,46620,0.0,1853
"Dear Villagers, E-Home Entertainment",1,750000.0,87.5,7469,6.99,99
Rain Games,1,750000.0,84.4,2430,9.99,0
Naddic Games,1,750000.0,73.1,4511,0.0,17
"Nacon, The Arcade Crew, Gamera Games, DANGEN Entertainment",1,750000.0,91.8,11496,24.99,424
Smorb Software,1,750000.0,71.4,11911,16.99,98
"Smola Game Studio, Agafonoff",1,750000.0,96.6,26132,0.79,5
"KingsIsle Entertainment, gamigo group",1,750000.0,82.0,8196,0.0,712
Smart Game Booster,1,750000.0,79.3,1808,0.0,111
Small Fish Big Dreams,1,750000.0,84.2,8389,19.99,128
"Sloclap, Kepler Interactive",1,750000.0,92.5,21129,39.99,394
Kodansha,1,750000.0,91.7,10053,5.49,57
Kloonigames,1,750000.0,86.1,1126,19.99,1
Wildfire Game（无锡野火数字科技有限公司）,1,750000.0,84.7,6490,17.99,6
"WildWorks, Inc.",1,750000.0,65.5,4054,0.0,104
Elijah Newman-Gomez,1,750000.0,68.4,2208,0.0,8
Electrovore,1,750000.0,80.7,6093,24.99,74
"Electronic Arts, Aspyr (Mac)",1,750000.0,81.9,9108,19.99,331
Kit9 Studio,1,750000.0,96.5,30157,11.99,277
KovaaK Games,1,750000.0,92.8,35305,9.99,1719
L2 Games,1,750000.0,92.3,12384,15.99,25
505 Go Inc,1,750000.0,69.9,4387,0.0,271
"Warner Bros. Interactive, Feral Interactive (Mac)",1,750000.0,86.7,9158,19.99,144
Anarchy Games,1,750000.0,78.9,754,14.99,3
Spicyhorse Games,1,750000.0,91.8,11263,0.0,3
Sparpweed,1,750000.0,90.0,6623,11.99,29
Space Bullet Dynamics Corporation,1,750000.0,67.3,2779,0.0,3
KK Game Studio,1,750000.0,66.8,12216,24.99,17
Boxelware,1,750000.0,90.2,13614,24.99,618
"Boundless Dynamics, LLC",1,750000.0,98.1,19368,29.99,222
Sos Sosowski,1,750000.0,84.1,3916,4.99,1
Wesnoth Inc.,1,750000.0,94.1,5356,0.0,145
Enhance,1,750000.0,94.9,7932,39.99,99
Empires,1,750000.0,86.6,1042,0.0,3
Solirax,1,750000.0,52.9,2274,0.0,2
Bluebutton Games,1,750000.0,79.3,4690,12.99,0
"Blue Brain Games, Zadbox Entertainment",1,750000.0,91.6,3544,24.99,5
Ancient Forge,1,750000.0,80.1,7042,19.99,93
Puny Human,1,750000.0,66.4,4803,0.0,0
NewRealityGames,1,750000.0,30.8,172,1.99,0
Proletariat Inc.,1,750000.0,71.0,2008,0.0,10
nobodyshot,1,750000.0,62.0,4016,0.0,66
David OReilly,1,750000.0,88.2,16243,0.99,40
DarkBasicSoftwareLimited,1,750000.0,72.7,2086,19.99,4
Nexile,1,750000.0,90.1,12303,4.41,60
Beawesome Games,1,750000.0,66.2,7292,19.99,198
"Pretty Soon, IndieArk",1,750000.0,87.7,7692,9.99,248
"President Studio, PlayWay S.A.",1,750000.0,98.0,22018,24.99,596
Pounce Light,1,750000.0,97.6,19845,11.99,291
"Nimble Neuron, Boltrend Global PTE.LTD",1,750000.0,81.9,5384,0.0,1
"Eternal Dream, 迷糊的安安",1,750000.0,97.5,3502,0.0,4
"91Act, Astrolabe Games",1,750000.0,95.1,30290,19.99,1099
AIP,1,750000.0,97.5,528,15.99,0
AGC,1,750000.0,34.4,1837,0.99,0
Circle Five Publishing,1,750000.0,83.2,9237,12.99,34
"Chucklefish, XD",1,750000.0,84.2,15840,24.99,48
"Isolated Games, IndieArk",1,750000.0,88.5,13900,13.49,990
StephenAllen,1,750000.0,59.4,537,0.99,0
Step 1 Games LLC,1,750000.0,73.1,5551,9.99,26
Pablo Leban,1,750000.0,85.4,8767,0.0,1300
JOGARA LTD,1,750000.0,73.4,1891,0.0,2
JForce Games,1,750000.0,86.3,6366,2.99,12
Aluba Van+,1,750000.0,93.2,14720,9.99,38
Eyedentity Games Inc.,1,750000.0,72.3,2285,0.0,11
"Everything Unlimited Ltd., Klei Publishing",1,750000.0,88.0,22002,9.99,7
Walternate Realities,1,750000.0,95.0,11171,19.99,482
Altfuture,1,750000.0,96.3,7375,39.99,328
Breda University of Applied Sciences,6,750000.0,85.1,5105,0.0,0
"Masthead Studios Ltd, Thegamewallstudios, Gamigo AG",1,750000.0,65.8,1691,0.0,0
Mastfire Studios Pty Ltd,1,750000.0,80.8,25906,0.0,50
"Papaya Play, Vertigo Games America",1,750000.0,54.2,3027,0.0,14
RogueWare,1,750000.0,82.0,3700,0.0,143
Zombie Panic! Team,1,750000.0,84.7,7726,0.0,13
Zloy Krot Studio,1,750000.0,82.3,559,0.49,1281
BEST KIRIN GLOBAL LIMITED,1,750000.0,72.7,1554,0.0,294
Diminished Studios,1,750000.0,60.5,4637,0.0,12
Dimension 32 Entertainment,1,750000.0,76.9,13456,10.99,106
DigitalDNA Games,1,750000.0,80.8,10779,5.99,46
Zero-K Team,1,750000.0,93.8,3922,0.0,96
Zero Point Software,1,750000.0,54.0,7864,9.99,1
Mercury Steam Entertainment s.l.,1,750000.0,53.3,3238,0.0,5
Megastorm Games,1,750000.0,92.8,9847,9.99,21
Strange Loop Games,1,750000.0,81.3,13212,29.99,692
"rokaplay select, Drillhounds",1,750000.0,89.5,14229,3.64,248
rittzler,1,750000.0,97.1,15027,5.99,41
rdt.32,1,750000.0,58.4,1439,0.0,1
pixiv Inc.,1,750000.0,94.6,4232,0.0,429
BINGOBELL,1,750000.0,75.8,901,24.99,71
Noisestorm,1,750000.0,97.9,26860,9.99,796
Awe Interactive,1,750000.0,90.8,11114,19.99,24
Illusion Ray,1,750000.0,82.9,11355,24.99,35
Innova Co SARL,1,750000.0,59.7,4335,0.0,20
Inflexion Games,1,750000.0,67.8,16206,29.99,149
Indiesolodev,1,750000.0,73.2,15037,0.0,22
"Subvert Games, Polygon Moon",1,750000.0,85.4,4328,0.0,14
Facepalm Games,1,750000.0,94.0,7369,14.99,6
A List Games,1,750000.0,74.7,1148,14.99,1
Invincibles Studio Ltd,1,750000.0,74.5,2074,0.0,25
Streum On Studio,1,750000.0,84.5,7699,9.99,13
Ice Water Games,1,750000.0,91.9,9320,0.0,111
Fenix Fire Entertainment,1,750000.0,53.7,15025,0.0,13
Feel Free Games,1,750000.0,83.9,9533,19.99,487
1-reality,1,750000.0,69.0,1417,0.0,46
FarSight Studios,1,750000.0,73.6,4080,0.0,27
FarBridge,1,750000.0,80.9,11553,19.99,4
"PLAION, Deep Silver",1,750000.0,86.2,3752,24.99,56
"WFS, Inc.",1,750000.0,69.2,1865,0.0,120
WAYONE GAMES,1,750000.0,87.2,17582,3.99,57
VoxelLoop Software Limited,1,750000.0,88.0,3094,10.99,2180
PLANET JEM,1,750000.0,95.2,18415,0.0,107
Imperium Interactive Entertainment,1,750000.0,68.0,16812,29.99,2060
Nikita Kryukov,1,750000.0,97.0,18723,8.99,23
Dark Curry S.L.,1,750000.0,72.7,264,29.99,3
Dan  Walters,1,750000.0,83.2,4829,3.99,1
snekflat,1,750000.0,94.4,5739,14.99,5
BANDAI NAMCO Entertainment America,1,750000.0,82.4,4733,0.0,0
"Hooded Horse, Slug Disco",1,750000.0,94.5,15284,8.99,399
"Virtual Desktop, Inc.",1,750000.0,69.2,2061,14.99,53
Virtual Basement LLC,1,750000.0,81.6,10211,9.99,4
Chongming Studio,1,750000.0,75.2,8436,17.99,1
Choice Provisions,1,750000.0,70.2,2476,14.99,2
IGG SINGAPORE PTE. LTD.,1,750000.0,67.0,5617,0.0,1080
Huya Games,1,750000.0,56.2,15851,0.0,0
Tabletopia,1,750000.0,62.8,1590,0.0,20
TT Games,1,750000.0,90.8,9672,19.99,115
Brown Studios,1,750000.0,84.7,1557,0.0,24
Svavelstickan,1,750000.0,97.3,7160,0.0,3
Final Form Games,1,750000.0,94.1,2341,9.99,0
"ION LANDS, Maple Whispering Limited",1,750000.0,87.9,14511,19.99,15
INFERNA UG (haftungsbeschränkt),1,750000.0,62.1,2149,0.0,52
"Idea Factory International, Inc., IDEA FACTORY Co., Ltd.",1,750000.0,94.3,12106,14.99,20
treeform,1,750000.0,87.3,2662,0.0,6
Meta Interaction,1,750000.0,89.4,7824,1.99,216
Giant Enemy Crab,1,750000.0,81.8,8208,9.99,29
ColdGames,1,750000.0,72.3,13113,10.49,180
Reverb Publishing,1,750000.0,79.5,3130,4.99,0
"Bigscreen, Inc.",1,750000.0,85.1,3135,0.0,50
"BigBox VR, Inc.",1,750000.0,82.8,2501,19.99,18
Midjiwan AB,1,750000.0,93.9,5148,14.99,194
Reissad Studio,1,750000.0,74.8,33804,26.65,422
ghosthunter,1,750000.0,98.6,13883,0.0,4
Die of Death Games,1,750000.0,82.3,5633,14.99,147
"DRAGO entertainment, Shochiku",1,750000.0,87.9,25043,19.99,958
CreSpirit,1,750000.0,95.7,11858,17.99,36
Nova Dimension,1,750000.0,77.3,277,1.99,0
"BANDAI NAMCO Entertainment, 株式会社バンダイナムコエンターテインメント",1,750000.0,83.5,7866,39.99,227
"BANDAI NAMCO Entertainment, FromSoftware, Inc.",1,750000.0,88.4,44324,39.99,197
"Paras Games, Obb Studio Inc.",1,750000.0,70.6,32031,19.99,296
"Bureau 81, indienova",1,750000.0,92.8,6196,9.09,41
Velan Studios,1,750000.0,85.5,8420,0.0,0
Flippfly LLC,1,750000.0,93.6,6296,9.99,6
"Flazm, META Publishing",1,750000.0,89.7,3303,9.99,10
"Fishing Cactus, PID Games, Dear Villagers",1,750000.0,94.7,6581,14.99,8
Vector3 Studio,1,750000.0,81.8,21419,19.99,472
Holotech Studios Inc.,1,750000.0,69.1,3302,0.0,290
Holotech Studios,1,750000.0,80.7,8389,0.0,105
HideChara,1,750000.0,90.2,3922,4.99,16
Polymorph Games,1,750000.0,85.4,20132,34.99,844
Polyarc,1,750000.0,95.1,3229,19.99,4
"Basically Games, LLC",1,750000.0,97.7,7437,9.99,91
Bare Mettle Entertainment,1,750000.0,82.1,12346,14.99,84
Bankroll Studios,1,750000.0,76.0,31158,24.99,20
Playtonic Friends,1,750000.0,74.9,5257,19.99,14
"Forward Global Group, Ltd.",1,750000.0,82.3,30176,2.99,484
Airship Syndicate,1,750000.0,58.5,24647,24.99,64
"Haemimont Games, EuroVideo Medien",1,750000.0,85.8,6360,19.99,8
"HONG KONG SPARK SOFTWARE TECHNOLOGY CO., LIMITED",1,750000.0,81.9,3831,0.0,10
"HIKARI FIELD, NekoNyan Ltd.",1,750000.0,98.9,31226,34.99,406
Afterthought LLC,1,750000.0,81.4,94804,19.99,5946
Affray Interactive,1,750000.0,80.3,12678,19.99,131
Texel Raptor,1,750000.0,94.5,7560,10.19,74
Vantan Game Academy,1,750000.0,87.5,6913,0.0,22
Valera Entertainment,1,750000.0,85.1,1225,0.99,3
"Flow Fire Games, WhisperGames",1,750000.0,94.1,12717,3.99,66
"Teneke Kafalar, Kwalee",1,750000.0,90.8,4810,2.99,62
Catobyte Ltd,1,750000.0,86.7,9883,14.99,131
"Team17, NEXT Studios",1,750000.0,85.4,5263,19.99,14
"Team17, Clever Plays",1,750000.0,87.4,7997,8.49,30
Team Samoyed,1,750000.0,86.9,5571,9.99,123
yeswecamp,1,750000.0,92.8,3995,9.99,90
Crafting Legends,1,750000.0,93.2,3533,19.99,3
Cosmographic Software,1,750000.0,95.9,12617,29.99,143
OVRAS Team,1,750000.0,92.4,4545,7.99,3358
"OKYO GAMES, Dear Villagers",1,750000.0,95.6,6508,0.0,2
PlaySurrounDead,1,750000.0,89.6,8200,11.99,1870
PlayStation PC LLC,1,750000.0,74.8,6672,0.0,0
PlayFlock,1,750000.0,67.4,2962,0.0,36
Planetary Annihilation Inc,1,750000.0,84.8,14125,29.99,102
"Placeholder Gameworks, Hawthorn Games",1,750000.0,86.9,7028,12.99,30
Pixeye Games,1,750000.0,65.2,4432,16.99,8
"CAPCOM U.S.A., INC.",1,750000.0,91.5,6882,24.99,229
Greens s.r.o.,1,750000.0,77.7,18972,14.99,189
GrizzlyGames,1,750000.0,96.4,11267,2.99,12
The Farm 51,1,750000.0,82.2,14340,29.99,76
The Elephant Crew,1,750000.0,95.0,4834,0.0,54
"Ghostpie Studio, Gamera Games",1,750000.0,90.0,18945,12.99,170
"Frontier, Aspyr (Mac)",1,750000.0,91.8,5179,0.0,32
Freie Programme Hohenstein,1,750000.0,77.8,925,0.0,51
"United Nations, Putin The Best, Ukrainian Bears",1,750000.0,73.1,3046,0.49,5
Miniclip,1,750000.0,91.7,13636,19.99,373
"Atari Inc., Cubed Productions LLC",1,750000.0,60.2,3995,0.0,0
Campfire Games,1,750000.0,88.4,13145,29.99,298
ToastieLabs,1,750000.0,96.2,7919,0.0,505
Titulum Enterprises Limited,1,750000.0,72.9,2835,0.0,122
Goldhawk Interactive,1,750000.0,87.2,4889,24.99,53
Camshaft Software Ltd,1,750000.0,93.4,14457,29.99,554
Changyou.com Limited,1,750000.0,69.1,4467,0.0,0
"ALLM Co., Ltd.",1,750000.0,76.4,4552,0.0,0
Thorium,1,750000.0,91.4,9058,19.99,98
Thing Trunk,1,750000.0,79.8,11952,24.99,12
"GrabTheGames, WhisperGames, TheGamesFortress",1,750000.0,90.2,3043,0.49,1
ComonGames,1,750000.0,76.1,5787,9.99,1
Undaunted Games,1,750000.0,61.8,9702,0.0,8
Toxic Games,1,750000.0,82.7,1869,1.99,0
Torpor Games,1,750000.0,93.4,9266,5.99,258
Okomotive,1,750000.0,95.1,22315,14.99,112
Astrolabe Games,1,750000.0,87.7,6503,15.99,11
PixelTail Games,1,750000.0,89.8,20634,19.99,282
"二色幽紫蝶, Re零同人社",1,750000.0,98.0,28249,5.99,852
D-Pad Studio,1,750000.0,83.7,5874,19.99,7
一个小目标工作室,1,750000.0,71.0,2107,3.99,316
ケイエル,1,750000.0,73.1,3000,0.0,61
Pixel Sprout Studios,1,750000.0,82.5,22456,12.49,653
"方块游戏(CubeGame), 软星科技(SoftStarlight)",1,750000.0,72.4,18354,29.99,68
"Bad Pixel, tinyBuild",1,750000.0,76.5,38581,24.99,698
OnSkull Games,1,750000.0,60.8,2134,0.0,2
Paliverse,1,750000.0,68.2,5373,9.99,5121
Other Tales Interactive,1,750000.0,85.9,11056,5.99,24
" NPC Entertainment, BlackRobe",1,750000.0,91.0,614,8.39,19
"GIBBING TREE, LLC",1,750000.0,97.2,15798,24.99,190
F²Games,1,750000.0,90.6,14504,8.99,509
Ac Games,1,750000.0,37.6,13639,19.99,7
Abyss Lights Studio LLP,1,750000.0,63.3,3080,0.0,1
Triiodide Studios,1,750000.0,87.5,22769,9.99,569
